Sentence Number;Text;Label
1;Visto il documento predisposto sulla base di quanto emerso nell’ ambito del sopra richiamato Tavolo Tecnico inerente la modifica e l’ aggiornamento del d d u o   n  7300 del 4 maggio 2004 : « Criteri e procedure per la gestione degli SME per impianti di produzione di leganti idraulici » riportante i parametri chimicofisici ed impiantistici da monitorare specifici del comparto e i riferimenti ai nuovi i criteri di trattamento dati;1
2;Vista la Guida di Attuazione del Programma , approvata dal Comitato di Sorveglianza nella seduta del 14 marzo 2008 e successivamente modificata con procedure di consultazione scritta concluse il 30 maggio 2008 e il 10 dicembre 2009 , che definisce , tra le altre cose , l’ iter procedurale dei progetti ordinari e dei Piani Integrati Transfrontalieri ( PIT );1
3;Le indicazioni più recenti in merito al flusso informativo delle prestazioni ambulatoriali e di diagnostica strumentale sono contenute nella circolare 20 / SAN del 30 dicembre 2010 e nelle successive note trasmesse nel corso del 2011   Per la rilevazione 2012 non sono previste modifiche rilevanti al tracciato attualmente in uso , vengono tuttavia fornite alcune indicazioni a seguito delle disposizioni impartite con d g r   IX/2633 del 6 dicembre 2011 « Determinazioni in ordine alla gestione del Servizio Socio Sanitario Regionale per l’ esercizio 2012 » ( in particolare Allegati 10 e 13 ) di cui dovrà essere tenuto conto ai fini della corretta prescrizione ed erogazione delle prestazioni e della successiva rendicontazione nei flussi informativi esistenti   1   Allegato 10 « Tariffe prestazioni di ricovero e di specialistica ambulatoriale » – Macroattività ambulatoriale complessa e ad alta integrazione di risorse ( MAC ) Ad integrazione del nomenclatore tariffario , sono stati introdotti i pacchetti MAC definiti in seguito all’ attività di riclassificazione di posti letto di Day Hospital non chirurgico in postazioni di macroattività ambulatoriale complessa   Le prescrizioni relative alle attività MAC devono essere effettuate , utilizzando le ricette del SSN ( ricetta rossa ) , dagli specialisti delle strutture nelle quali le prestazioni vengono erogate   In proposito , ai fini prescrittivi , si precisa che ogni pacchetto MAC vale come una singola prestazione e che pertanto per la compilazione della ricetta rimangono valide le indicazioni più volte fornite ( esempio : fino a 8 prestazioni / pacchetti MAC per ricetta , … )   I « pacchetti » ( MAC ) dovranno essere rendicontati a partire dalle prenotazioni del 1° gennaio 2012 sulla falsariga delle prescrizioni cicliche o erogabili in tempi diversi ( vedi ad esempio Recupero e Rieducazione Funzionale )   Per quanto riguarda la rendicontazione delle attività erogate , al fine di non dilazionarne nel tempo la segnalazione nei flussi informativi e per semplificare gli aspetti di gestione economica , si forniscono innanzitutto due indicazioni di tipo generale : • la rendicontazione dovrà essere su base mensile ( non si deve attendere la conclusione del ciclo di MAC ) , facendo riferimento a ciò che è stato erogato in quel mese • le prescrizioni di MAC vanno chiuse tassativamente nell’ anno di rilevazione   Pertanto si forniscono le ulteriori specificazioni che seguono : • La data di contatto corrisponderà alla data di erogazione della prima prestazione e la data di fine corrisponderà con la data di erogazione dell’ ultima prestazione erogata nel mese di rilevazione   • Qualora le prescrizioni riferite ad una MAC contenessero prestazioni erogabili in tempi superiori al mese le attività dovranno essere comunque trasmesse con periodicità mensile , con la rendicontazione delle sole attività erogate , anche se parziali   • Per le prescrizioni non concluse nel mese , nei mesi successivi le stesse dovranno essere inviate a correzione , avendo cura di indicare nel record il numero cumulativo di prestazioni erogate ( comprensivo quindi di quelle già segnalate nei mesi precedenti )   L’ integrazione dei record;1
4;Preso atto che con le dd g r   citate sono state definite le procedure per l’ accreditamento delle unità d’ offerta socio - sanitarie;1
5;Vista la circolare regionale n  21 del 5 luglio 2007 « Chiarimenti in ordine a d g r   n  3257 del 4 ottobre 2006 » che indica , tra l’ altro , le modalità per ottenere il riconoscimento di Ente Unico;1
6;Atteso che : −− l’ ASL di Como ha verificato il possesso dei requisiti di accreditamento in capo all’ Ente Gestore subentrante , come attestato dalla Determinazione del Direttore del Dipartimento A S S I  n  1 del 17 gennaio 2014 , trasmessa alla Direzione Generale Famiglia , Solidarietà Sociale e Volontariato con nota protocollata in data 17 gennaio 2014 prot   n  581 , −− l’ attività è esercitata a titolo di gestione diretta , −− per la realizzazione dell’ immobile sede dell’ attività non sono stati impiegati finanziamenti pubblici;1
7;Vista la Guida di Attuazione del Programma , approvata dal Comitato di Sorveglianza nella seduta del 14 marzo 2008 e successivamente modificata con procedure di consultazione scritta concluse il 30 maggio 2008 e il 10 dicembre 2009 , che definisce , tra le altre cose , l’ iter procedurale dei progetti ordinari e dei Piani Integrati Transfrontalieri ( PIT );1
8;Richiamato il decreto del Direttore Generale della Direzione Ambiente , Energia e Reti n  10461 del 15 ottobre 2010 con il quale la proposta di estensione della sperimentazione è stata approvata con prescrizioni , in particolare imponendo approfondimenti tecnici conoscitivi al fine di determinare le condizioni di rilascio di portate di DMV a valle delle rispettive prese inferiori sui Torrenti Bondone e Caronella , funzionalmente legate all’ impianto idroelettrico « Belviso »;1
9;• N0080010032lo ( T  Belviso , dal bacino di Frera all’ immissione nel F  Adda );1
10;• N0080011061lo ( T  Caronella , dalle sorgenti all’ immissione nel F  Adda );1
11;• N0080010651lo ( T  Bondone , dalle sorgenti all’ immissione nel F  Adda );1
12;Preso atto che per tutti i corpi idrici elencati al punto precedente la classificazione del Piano di Gestione indica uno stato complessivo attuale « buono » con obiettivo ecologico e chimico « buono » al 2015;1
13;• la sperimentazione prevede che non sia rilasciata alcuna;1
14;portata a valle dell’ opera di presa n  1 « Diga di Frera » e che il relativo DMV sia garantito attraverso la dismissione delle derivazioni nn;1
15;2 « Soffia » , 3 « Nembra » e 5 « Carognera » , i cui contributi medi naturali annui complessivamente ammontano a 99 l / s;1
16;• il valore del DMV sperimentale a valle della derivazione n  10 « Diga di Ganda » , pari a 147 l / s , è stato stabilito in seguito agli approfondimenti effettuati nella prima fase sperimentale ai sensi di quanto indicato dal ddg 8190/2009;1
17;• in seguito agli approfondimenti conoscitivi effettuati ai sensi del d d g;1
18;10461/2010 nel tratto terminale del T  Caronella , sulla base di prove e verifiche in diversi regimi di portata , comprendenti anche misure effettuate in occasione di precipitazioni atmosferiche di entità considerevole , è stato stabilito in accordo con il Tavolo tecnico ( cfr   verbale incontro del 18 ottobre 2011 ) di non dover imporre alcun rilascio di DMV , in quanto si è constatato che - anche in condizioni idrologicamente abbondanti - l’ acqua rilasciata si infiltra in subalveo poche centinaia di metri a valle della forra , rendendo impossibile il mantenimento della continuità idraulica attraverso rilasci di portate nell’ ordine di grandezza del DMV idrologico;1
19;• in seguito agli approfondimenti conoscitivi effettuati ai sensi del ddg 10461/2010 nel tratto terminale del T  Bondone , è stato stabilito in accordo con il Tavolo tecnico ( cfr   verbale incontro del 18 ottobre 2011 ) di attuare un rilascio di DMV sperimentale fissato in 16 l / s al fine di verificare se tale portata consenta di garantire la continuità idraulica fino all’ immissione in Adda;1
