SentenceID;Sentences ;Label 
1; – 72 – Serie Ordinaria n. 6 - Venerdì 07 febbraio 2020 Ravvisata la necessità di pubblicare il presente atto sul Bollettino Ufficiale della Regione Lombardia e di inviarne una copia alle ATS interessate;0
2; • 16 dicembre 2019, n. 2672, « Determinazioni in ordine alla gestione del servizio sociosanitario per l’ esercizio 2020 »;0
3; • 30 maggio 2012, n. 3541, « Definizione dei requisiti specifici per l’ esercizio e l’ accreditamento dell’ assistenza domiciliare integrata », rettificata dalla d.g.r. 6 giugno 2012, n. 3584 »;1
4; • 31 ottobre 2014, n. 2569, « Revisione del sistema di esercizio e accreditamento delle unità di offerta sociosanitarie e linee operative per le attività di vigilanza e controllo » come modificata con d.g.r. 29 dicembre 2015, n. 4702, « Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’ esercizio 2016 »;1
5; • 7 aprile 2003, n. 12618, « Definizione degli standard di personale per l’ autorizzazione al funzionamento e l’ accreditamento delle Residenze Sanitario Assistenziali per anziani ( RSA ) e prima revisione del sistema di remunerazione regionale ( in attuazione della d.g.r. n. 7435 del 14 dicembre 2001 ) »;1
6; • che le domande pervenute devono essere valutate da una apposita commissione;0
7; • d.g.r. 25 luglio 2012, n. 3851, « Determinazioni in ordine alle tariffe sperimentali dei nuovi profili dell’ assistenza domiciliare integrata ( ADI ) »;0
8; • d.g.r. 28 novembre 2016, n. 5918 « Disposizioni in merito all’ evoluzione del modello organizzativo della rete delle cure palliative in Lombardia: integrazione dei modelli organizzativi sanitario e sociosanitario »;1
9; • il d.p.c.m. 12 gennaio 2017 « Livelli essenziali di assistenza »;0
10; • il d.p.r. 14 gennaio 1997, « Approvazione dell’ atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’ esercizio delle attività sanitarie da parte delle strutture pubbliche e private »;1
11; • la d.c.r. 17 novembre 2010, n. 88, « Piano SocioSanitario Regionale 2010 – 2014 »;0
