sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 55 – Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013,,
3,D.g.r.,,
4,"28 dicembre 2012 - n. IX/4626 Determinazione delle tariffe da applicare alle istruttorie e ai controlli in materia di autorizzazione integrata ambientale, ai sensi dell’art.",,
5,9 c. 4 del d.m.,,
6,"24 aprile 2008 (revoca della d.g.r. n. 10124/2009 e smi) LA GIUNTA REGIONALE Viste: −− la direttiva 2010/75/UE del parlamento europeo e del consiglio del 24 novembre 2010 relativa alle emissioni industriali che ha sostituito la Direttiva 2008/1/CE sulla prevenzione e la riduzione integrate dell’inquinamento (IPPC); −− la Parte Seconda del d.lgs 152/06 e smi, «Procedure per la Valutazione Ambientale Strategica (VAS), per la Valutazione di Impatto Ambientale (VIA) e per l’Autorizzazione integrata Ambientale (AIA)» che ha sostituito il d.lgs n. 59/05 «Attuazione integrale della direttiva 96/61/CE relativa alla prevenzione e riduzione integrate dell’inquinamento» ora sostituito dalla −− la d.g.r. del 7 agosto 2009 n. 10124 «adeguamento ed integrazione delle modalità, anche contabili, e delle tariffe da applicare in relazione alle istruttorie e ai controlli previsti dal d.lgs.",,
7,59/05 (art.,,
8,"9, comma 4, d.m.",,
9,"24 aprile 2008)» e la successiva circolare di chiarimenti del 13 novembre 2009; Ricordato che: −− con decreto 24 aprile 2008 il Ministero dell’ambiente e della tutela del territorio e del mare, in attuazione dell’articolo 18, comma 2, del d.lgs.",,
10,"59/05, ha disciplinato, le modalità e le tariffe da applicare in relazione alle istruttorie e ai controlli previsti dalla normativa IPPC, a carico dei gestori degli impianti, ai sensi degli artt.",,
11,"11, comma 3 e 18, comma 1, del medesimo d.lgs.",,
12,"59/05; −− l’articolo 9, comma 4, del suddetto decreto ministeriale, permetteva alle Regioni e alle Province autonome di Trento e di Bolzano, nel rispetto dei principi di cui al decreto stesso e in considerazione delle specifiche realtà rilevate nei rispettivi territori, di adeguare e integrare le tariffe ivi definite, da applicare per la conduzione delle istruttorie di competenza e dei relativi controlli; −− Regione Lombardia, in attuazione di tale comma, con la d.g.r. n. 10124/2009 sopra richiamata, ha definito le modalità per la determinazione e delle tariffe da applicare in relazione alle istruttorie e ai controlli delle attività soggette ad Autorizzazione Integrata Ambientale collocate sul territoriale e di competenza regionale; Considerato che: −− lo stesso dm 24 aprile 2008 prevede, articoli 2, comma 7 e 3, comma 5, l’aggiornamento, ogni due anni, dei criteri ivi indicati; −− la d.g.r.",,
13,"10124/2009 demandava alla Direzione Generale Ambiente, Energia e Reti di Regione Lombardia, il monitoraggio degli effetti dell’applicazione del tariffario regionale, anche ai fini degli adempimenti previsti dai commi di cui al punto precedente; −− la Direzione Generale ha provveduto ad effettuare tale monitoraggio nell’ambito del quale è emerso che, in linea generale, i criteri e le modalità di determinazione delle tariffe si sono rilevati in linea con gli obiettivi che Regione Lombardia si era posta; −− è altresì emersa l’opportunità di apportare alcune modifiche finalizzate sia a semplificare ulteriormente le modalità di determinazione e versamento degli oneri, pur rispetto dei principi di cui al dm 24 aprile 2008, sia la fine di risolvere alcune criticità interpretative ed applicative evidenziatesi nella prima fase di applicazione del tariffario regionale; Ricordato inoltre che la Legge regionale 18 aprile 2012 - n. 7 «Misure per la crescita, lo sviluppo e l’occupazione» ha previsto (art.",,
14,"34 comma 2) una riduzione degli oneri istruttori per procedimenti di AIA relativi a impianti industriali allacciati alla rete SME, di cui alla deliberazione della Giunta regionale 10 febbraio 2010, n. 11352, a imprese registrate EMAS, nonché ad attività certificate ISO 14001; Ritenuto opportuno, pertanto, provvedere all’aggiornamento delle modalità e dei criteri per la determinazione delle tariffe sia per le istruttorie, che per i controlli dei procedimenti di AIA di cui all’allegato alla d.g.r.",,
15,10124/2009; Ravvisata l’opportunità da parte della Direzione Generale,,
16,"rezioni Generali interessate, le Province, l’ARPA e le Associazioni Imprenditoriali (Confindustria, Assolombarda), finalizzato ad individuare le modalità di aggiornamento del vigente tariffario regionale, sia sulla base degli effetti del monitoraggio di cui sopra, sia sulla base delle indicazioni di cui alla richiamata l.r.n.",,
17,"7/2012; Visto il documento predisposto dalla DG Ambiente, Energia e Reti a seguito del confronto di cui sopra, con il quale vengono definite le nuove modalità di determinazione degli oneri relativi sia alle istruttorie, che ai controlli, degli impianti AIA collocati sul territorio regionale, nel rispetto dei principi di cui al d.m.",,
18,"24 aprile 2008; Ricordato che con d.g.r. n. 11287/2010 «ulteriori determinazioni in ordine alle modalità e alle tariffe per il rilascio delle autorizzazioni integrate ambientali in relazione alle attività produttive di cui al punto 6.6 dell’Allegato I al d.lgs 59/05» Regione Lombardia, stabiliva, nei punti 4) e 5) ulteriori specifiche concernenti i criteri di determinazione delle tariffe istruttorie relative al comparto zootecnico, ad integrazione delle d.g.r. n. 10124/2009; Ritenuto opportuno, in un’ottica di semplificazione, raccogliere in un unico provvedimento tutte le determinazioni relative alle modalità di calcolo degli oneri per tutti i settori interessati dall’applicazione della normativa IPPC; Ritenuto in tal senso opportuno abrogare sia la dgr 10124/2009 «adeguamento ed integrazione delle modalità, anche contabili, e delle tariffe da applicare in relazione alle istruttorie e ai controlli previsti dal d.lgs.",,
19,59/05 (art.,,
20,"9, comma 4, d.m.",,
21,"24 aprile 2008), sia i punti 4) e 5) della dgr n. 11287/2010 «ulteriori determinazioni in ordine alle modalità e alle tariffe per il rilascio delle autorizzazioni integrate ambientali in relazione alle attività produttive di cui al punto 6.6 dell’Allegato I al d.lgs 59/05»; Ricordato infine che: −− che con la l.r. n. 24/2006 «Norme per la prevenzione e riduzione delle emissioni in atmosfera a tutela della salute e dell’ambiente» e la l.r. n. 26/2003 e smi «Disciplina dei servizi locali di interesse economico generale.",,
22,"Norme in materia di gestione rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche», sono state definite le competenze in materia di autorizzazione integrata ambientale per gli impianti collocati sul territorio regionale; −− ai sensi di tali provvedimenti sono individuate le Province quali autorità competenti al rilascio, rinnovo e riesame delle AIA ad eccezione che per gli impianti di cui al punto 5.2 dell’allegato VIII alla Parte Seconda del d.lgs 152/06 e smi, di competenza regionale, mentre è ARPA Lombardia l’autorità preposta ai controlli ordinari di cui all’art.",,
