sentence number,sentence,value (0/1)
1,– 46 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 3 - Mercoledì 15 gennaio 2014,,
4,"D.G. Ambiente, energia e sviluppo sostenibile D.d.s.",,
5,"30 dicembre 2013 - n. 12792 Concessione di proroga alla società Moto Italia s.r.l., con sede in via Nino Bixio, 8, nel comune di Biandronno (VA), per la presentazione del progetto di bonifica delle acque di falda al 31 settembre 2014 IL DIRIGENTE DELLA STRUTTURA PIANIFICAZIONE DEI RIFIUTI E DELLE BONIFICHE Visto il decreto legislativo 3 aprile 2006, n. 152 e s.m.i., recante le norme in materia ambientale e, in particolare, il Titolo V, parte quarta; Vista la legge regionale 27 dicembre 2006, n. 30, recante le «Disposizioni legislative per l’attuazione del documento di programmazione economico-finanziaria regionale, ai sensi dell’art.",,
6,9 ter della l.r.,,
7,"31 marzo 1978, n. 34 – collegato 2007»; Richiamata la deliberazione di Giunta regionale 27 giugno 2006, n. 2838, «Modalità applicative del Titolo V «Bonifica di siti contaminati» della parte quarta del d.lgs.",,
8,152/2006 – Norme in materia ambientale»; Vista la d.g.r. n. 4033 del 24 gennaio 2007 con cui sono state indicate le prime modalità di applicazione dell’art.,,
9,"5 della citata l.r. n. 30/2006; Vista la d.g.r. n. 11348 del 10 febbraio 2011 che definisce le linee guida in materia di bonifica di siti contaminati; Vista la d.g.r. n. 3509 del 23 maggio 2012 che definisce le linee guida per la disciplina del procedimento per il rilascio della certificazione di avvenuta bonifica, messa in sicurezza operativa e messa in sicurezza permanente dei siti contaminati; Ricordato che nel territorio del comune di Biandronno, in provincia di Varese, è ubicato il sito della società Moto Italia s.r.l.; Richiamato il decreto del Dirigente dell’ Unità Organizzativa n. 7820 del 21 agosto 2013, di concessione di proroga alla società per la presentazione del progetto di bonifica della falda al 31 dicembre 2013; Considerato che la società Moto Italia s.r.l., con nota del 17 settembre 2013 , agli atti regionali con protocollo n. 35632 del 25 settembre 2013, ha comunicato il cambio della ragione sociale della società Husqvarna Motorcycles s.r.l. in Moto Italia s.r.l.; Rilevato infine che con nota del 11 novembre 2013, agli atti regionali con protocollo n. 47257 del 28 novembre 2013, la società Moto Italia s.r.l. ha chiesto una ulteriore proroga, al 30 settembre 2014, per la presentazione del progetto di bonifica della falda superficiale, per: −− imprevisti generali tecnici e organizzativi −− necessità di integrare le indagini di caratterizzazione del sito −− prevedere la copertura dei costi delle attività di bonifica dei terreni e della falda; Considerato che sul sito dello stabilimento della società è attivo un presidio idraulico a tutela delle acque di falda e per la tutela della salute pubblica; Ritenuto, per le motivazioni e considerazioni sopra riportate, di indicare al 30 settembre 2014 la data entro cui dovrà essere presentato il progetto di bonifica della falda superficiale; Vista la legge regionale 7 luglio 2008, n. 20 «Testo Unico delle leggi regionali in materia di organizzazione e personale» nonché i Provvedimenti Organizzativi della X Legislatura; DECRETA 1. di prorogare alla data del 30 settembre 2014, il termine entro cui la società Moto Italia s.r.l., con sede in via N. Bixio, 8, del comune di Biandronno (VA), dovrà presentare il progetto di bonifica della falda come previsto dal d.d.u.o. n. 11876 del 11 dicembre 2012; 2. di dare atto che sull’area dello stabilimento della società Moto Italia s.r.l. è attivo il presidio idraulico, a garanzia di tutela della falda idrica sotterranea; 3. di comunicare il presente atto alla società Moto Italia s.r.l. con sede in via N. Bixio, 8, in comune di Biandronno, (prov.",,
10,"VA) e di trasmetterne copia alla Provincia di Varese, ai comuni di Biandronno e di Ternate, all’ARPA Lombardia – Dip. di Varese e Sede Centrale di Milano, all’ASL della Provincia di Varese; 4. di provvedere a pubblicare sul Bollettino Ufficiale della Regione Lombardia il presente provvedimento; 5. di dare atto, ai sensi dell’art.",,
11,"3, legge 7 agosto 1990, n. 241, s.m.i., che contro il presente provvedimento, potrà essere presentato ricorso giurisdizionale al Tribunale Amministrativo Regionale,",,
12,"entro 60 (sessanta) giorni dalla data di comunicazione dello stesso, ovvero ricorso straordinario al Presidente della Repubblica entro 120 (centoventi) giorni dalla data di pubblicazione sul BURL.",,
13,Il dirigente della struttura Rocco Racciatti,,
