sentence number,sentence,value (0/1)
1,– 12 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 4 - Lunedì 20 gennaio 2014,,
4,"D.G. Ambiente, energia e sviluppo sostenibile D.d.s.",,
5,"9 gennaio 2014 - n. 66 Volturazione alla ditta A2A Ambiente s.p.a., con sede legale in Brescia via Lamarmora n. 230, dell’ autorizzazione integrata ambientale relativa all’impianto di termovalorizzazione Silla 2, sito a Milano, via Lucio Cornelio Silla n. 249, rilasciata ad A2A Ambiente s.r.l. con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i.",,
6,"IL DIRIGENTE DI STRUTTURA AUTORIZZAZIONI E INNOVAZIONE IN MATERIA DI RIFIUTI Visti: −− la l. 7 agosto 1990, n. 241 «Nuove norme in materia di procedimento amministrativo e di diritto di accesso ai documenti amministrativi»; −− la l.r.",,
7,"1 febbraio 2012, n. 1 «Riordino normativo in materia di procedimento amministrativo, diritto di accesso ai documenti amministrativi, semplificazione amministrativa, potere sostitutivo e potestà sanzionatoria»; −− la l.r.",,
8,"12 dicembre 2003, n. 26 «Disciplina dei servizi locali di interesse economico generale.",,
9,"Norme in materia di gestione dei rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche»; −− il d.lgs.",,
10,"3 aprile 2006, n. 152, recante «Norme in materia ambientale»; Richiamati −− il d.d.s. n. 12478 del 24 ottobre 2007 avente per oggetto: «Autorizzazione integrata ambientale (IPPC) rilasciata alla ditta Amsa Azienda Milanese Servizi Ambientali S.p.a. – insediamento Silla 2, ai sensi del d.lgs.",,
11,"18 febbraio 2005, n. 59, allegato 1, punto 5.2, con sede legale in Milano (MI), Via Olgettina 25 ed impianto in Milano (MI), Via Lucio Cornelio Silla, n. 249»; −− il d.d.s. n. 2737 del 20 marzo 2009 avente per oggetto: «Presa d’atto del protocollo d’intesa sottoscritto in data 6 febbraio 2009 e modifica dell’autorizzazione integrata ambientale (IPPC) già rilasciata, ai sensi del d.lgs.",,
12,"18 febbraio 2005, n. 59, allegato 1, punto 5.2, con d.d.s. n. 12478 del 24 ottobre 2007 alla ditta Amsa Azienda Milanese Servizi Ambientali s.p.a., con sede legale in Milano (MI), Via Olgettina 25 ed impianto in Milano (MI), Via Lucio Cornelio Silla, n. 249»; −− il d.d.s. n. 9087 del 27 settembre 2010 avente per oggetto: «Modifica dell’autorizzazione integrata ambientale (ippc) gia’ rilasciata, ai sensi del d.lgs.",,
13,"18 febbraio 2005, n. 59, allegato 1, punto 5.2, con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i. alla ditta Amsa azienda milanese servizi ambientali s.p.a., con sede legale in Milano, via Olgettina 25, ed impianto in Milano,via Lucio Cornelio Silla 249»; −− il d.d.s. n. 10532 del 18 ottobre 2010 avente per oggetto: «Rettifica per mero errore materiale del d.d.s. n. 9087 del 27 settembre 2010 avente per oggetto: «Modifica dell’autorizzazione integrata ambientale (ippc) gia’ rilasciata ai sensi del d.lgs.",,
14,"18 febbraio 2005, n. 59, allegato 1, punto 5.2,con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i. alla ditta Amsa Azienda Milanese Servizi Ambientali s.p.a., con sede legale in Milano, via Olgettina 25 ed impianto in Milano, via Lucio Cornelio Silla 249»; −− il d.d.s. n. 7780 del 24 agosto 2011 avente per oggetto: «Modifica dell’autorizzazione integrata ambientale (ippc) già rilasciata, ai sensi del d.lgs.",,
15,"18 febbraio 2005, n. 59, allegato 1, punto 5.2, con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i. alla ditta Amsa Azienda Milanese Servizi Ambientali s.p.a., con sede legale in Milano, via Olgettina 25, ed impianto in Milano, via Lucio Cornelio Silla 249»; −− il d.d.s. n. 9620 del 19 ottobre 2011 avente per oggetto: «Integrazione all’autorizzazione integrata ambientale (ippc) già rilasciata, ai sensi del d.lgs.",,
16,"18 febbraio 2005, n. 59, allegato 1, punto 5.2, con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i. alla ditta Amsa Azienda Milanese Servizi Ambientali s.p.a., con sede legale in Milano, via Olgettina 25, ed impianto in Milano, via Lucio Cornelio Silla 249»; −− il d.d.s. n. 9272 del 18 ottobre 2012 avente per oggetto: «Modifica non sostanziale dell’autorizzazione integrata ambientale (ippc) gia’ rilasciata, ai sensi del d.lgs.",,
17,"18 febbraio 2005, n. 59, allegato 1, punto 5.2, con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i. alla ditta Amsa Azienda Milanese Servizi Ambientali s.p.a., con sede legale in Milano, via Olgettina 25, ed impianto in Milano, via Lucio Cornelio Silla 249;",,
18,−− il d.d.s. n. 7714 del 9 agosto 2013 avente per oggetto.,,
19,"«Volturazione alla ditta A2A Ambiente s.r.l., con sede legale in Brescia via Lamarmora n. 230, dell’ Autorizzazione Integrata Ambientale relativa all’impianto di termovalorizzazione Silla 2, sito a Milano, via Lucio Cornelio Silla n. 249, rilasciata ad Amsa s.p.a. con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i.»; Vista la nota del 12 novembre 2013, in atti regionali prot. n. T1.45214 del 19 novembre 2013, con cui la ditta A2A Ambiente s.p.a. ha comunicato la trasformazione societaria di A2A Ambiente s.r.l. in A2A Ambiente s.p.a. chiedendo di aggiornare l’Autorizzazione Integrata Ambientale relativa al complesso IPPC Silla 2, sito in Milano, via Lucio Cornelio Silla n. 249 rilasciata con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i., allo scopo la ditta ha allegato: −− copia dell’atto di trasformazione da A2A Ambiente s.r.l. in società per azioni denominata ""A2A Ambiente s.p.a."", repertorio n. 13357 raccolta n. 5667 a rogito Notaio Edmondo Todeschini del Collegio Notarile di Milano; Preso quindi atto della trasformazione da A2A Ambiente S.r.l. in A2A Ambiente s.p.a. con sede legale in Brescia, via Lamarmora n. 230; Ritenuto di dover richiedere la volturazione delle fidejussioni a suo tempo prestate dalla ditta A2A Ambiente s.r.l. a favore di Regione Lombardia in capo alla ditta A2A Ambiente s.p.a.; Visto che il presente provvedimento rientra tra le competenze della Struttura individuate dalla d.g.r. n. 87 del 29 aprile 2013 e dal decreto del segretario generale n. 7110 del 25 luglio 2013; Viste la legge regionale 7 luglio 2008 n. 20: «Testo unico delle leggi regionali in materia di organizzazione e personale» e i Provvedimenti organizzativi della X legislatura; DECRETA 1. di richiedere la volturazione delle fidejussioni a suo tempo prestate dalla ditta A2A Ambiente s.r.l., in capo alla ditta A2A Ambiente s.p.a.; la garanzia finanziaria deve essere prestata e accettata in conformità con quanto stabilito dalla d.g.r. n. 19461/04.",,
20,"Contestualmente all’accettazione delle medesime da parte della Regione Lombardia, prestate a fronte del presente atto, saranno svincolate le garanzie finanziarie già prestate dalla società A2A Ambiente s.r.l. ed accettate dalla Regione Lombardia; 2. di fare salve tutte le condizioni e le prescrizioni di cui all’autorizzazione rilasciata con d.d.s. n. 12478 del 24 ottobre 2007 e s.m.i che non siano in contrasto con quelle di cui al presente provvedimento; 3. di disporre che l’efficacia del presente atto decorre dalla data di ricevimento della copia conforme trasmessa al soggetto interessato, subordinatamente all’accettazione dell’appendice di voltura di cui al punto 1; 4. di disporre che il presente atto sia comunicato a mezzo raccomandata A/R alla ditta, trasmettendone copia alla Provincia di Milano, al Comune di Milano e ad A.R.P.A. dipartimento di Milano e di disporre la pubblicazione dell’atto sul BURL e sul sito internet della Regione all’indirizzo www.reti.regione.lombardia.it nella sezione Rifiuti; 5. di far presente che contro il presente provvedimento può essere presentato ricorso giurisdizionale al Tribunale Amministrativo Regionale entro 60 giorni dalla data della sua prima comunicazione ovvero ricorso straordinario al Presidente della Repubblica entro 120 giorni dalla stessa data.",,
21,Il dirigente di struttura Dario Sciunnach,,
