sentence number,sentence,value (0/1)
1,–4–,,
2,Bollettino Ufficiale,,
3,"Serie Ordinaria n. 4 - Lunedì 20 gennaio 2014 realizzazione di una fermata collocata lungo il tratto della linea ferroviaria Bergamo-Ponte San Pietro; considerato che −− ogni giorno aumentano le lamentele degli utenti per quanto riguarda i costi; −− la presunta perdita del biglietto fa scattare una multa di 40 euro che non vengono restituiti in caso di ritrovamento dello stesso; −− manca un’adeguata sorveglianza, soprattutto nel parcheggio a raso; è molto difficile trovare personale della BHP al quale rivolgersi per disguidi vari legati all’accesso e all’uscita e per i necessari controlli alle auto in sosta; −− i cittadini e le associazioni di consumatori e volontariato hanno manifestato la necessità di rivedere la convenzione; −− per quanto la convenzione sia stata stipulata dalla provincia, la Regione non può non intervenire, per quanto possibile, nella ricerca di soluzioni migliori sia rispetto ai costi che alla sorveglianza; invita il Presidente e la Giunta regionale −− a verificare con la provincia di Bergamo e la società concessionaria la possibilità di una revisione della convenzione; −− a contattare la società BHP perché aumenti la sorveglianza all'interno del parcheggio e affinché mantenga l’impegno di recintare al più presto l'area dei parcheggi, come richiesto dalla Prefettura e dalla Questura; −− a verificare la possibilità di posizionare anche all'interno dell’ospedale le casse dei parcheggi; −− a verificare l’esistenza o meno dell'allegato per la gestione del parcheggio, ad oggi introvabile; −− a richiedere la gratuità del parcheggio della camera mortuaria, oggi a pagamento anche per i famigliari; −− a favorire, in ogni sede competente (TRENORD, RFI e TEB) l’ipotesi di realizzazione della fermata ferroviaria del nuovo ospedale.”.",,
4,Il presidente: Raffaele Cattaneo I consiglieri segretari: Maria Daniela Maroni - Eugenio Casalino II segretario dell’assemblea consiliare: Mario Quaglini D.c.r.,,
5,7 gennaio 2014 - n. X/261 Mozione concernente il patto di stabilità - applicazione dell’indice sintetico di virtuosità Presidenza del Vice Presidente Cecchetti,,
6,Il consiglio REGIONALE DELLA LOMBARDIA Vista la Mozione n. 158 presentata in data 23 dicembre 2013; a norma degli artt.,,
7,"122 e 123 del Regolamento generale, con votazione palese, per appello nominale, che dà il seguente risultato: Consiglieri presenti Consiglieri votanti Non partecipano alla votazione Voti favorevoli Voti contrari Astenuti",,
8,n. n. n. n. n. n.,,
9,65 64 1 64 0 0,,
10,"DELIBERA di approvare il testo della Mozione n. 158 concernente il Patto di stabilità - Applicazione dell’indice sintetico di virtuosità, nel testo che così recita: “Il Consiglio regionale della Lombardia premesso che −− gli enti locali da tempo sono costretti a confrontarsi con le difficoltà imposte dal rispetto dei vincoli stabiliti dal patto di stabilità, che obbliga al raggiungimento di un obiettivo di saldo finanziario per il concorso dell’ente stesso al contenimento dei saldi di finanza pubblica; −− nonostante le successive riscritture della disciplina applicativa, l’impostazione del patto di stabilità ha fatto progressivamente emergere con evidenza gravi inefficienze nel funzionamento delle regole di contenimento finanziario in termini di riduzione degli investimenti locali e di acclarata insostenibilità degli obiettivi, che si sommano alla drastica riduzione delle risorse trasferite ai comuni;",,
